molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_chembl_id,data_validity_comment,document_chembl_id,target_chembl_id
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,IC50,=,750.0,nM,6.12,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,IC50,=,100.0,nM,7.00,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,IC50,=,300.0,nM,6.52,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,=,800.0,nM,6.10,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,2400.0,nM,5.62,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,100.0,nM,7.00,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,IC50,=,800.0,nM,6.10,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL341437,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,IC50,=,50.0,nM,7.30,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,IC50,>,100000.0,nM,,B,CHEMBL643376,,CHEMBL1130748,CHEMBL220
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,IC50,=,560.0,nM,6.25,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL339995,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,IC50,<,10.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL335158,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,IC50,<,10.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131536,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,1400.0,nM,5.85,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,IC50,=,17000.0,nM,4.77,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL334971,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,1100.0,nM,5.96,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336625,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,IC50,=,26.0,nM,7.58,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL134061,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,IC50,=,800.0,nM,6.10,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130645,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL335112,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1)c1ccccc1,IC50,,,nM,,B,CHEMBL643385,,CHEMBL1148382,CHEMBL220
CHEMBL133580,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336524,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,56.0,nM,7.25,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336276,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,IC50,=,200.0,nM,6.70,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL334395,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,300.0,nM,6.52,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131320,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,IC50,=,200.0,nM,6.70,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL339297,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,=,500.0,nM,6.30,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL122575,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,IC50,>,100000.0,nM,,B,CHEMBL643376,,CHEMBL1130748,CHEMBL220
CHEMBL130704,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL46151,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,IC50,=,260000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL296010,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1,IC50,,,nM,,B,CHEMBL644103,,CHEMBL1123431,CHEMBL220
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],IC50,=,22.0,nM,7.66,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL295017,CCCS/C(=N\O)C(=O)c1ccc(Br)cc1,IC50,,,nM,,B,CHEMBL644103,,CHEMBL1123431,CHEMBL220
CHEMBL297316,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL65667,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,3800.0,nM,5.42,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL431519,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,40.0,nM,7.40,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL14598,COc1ccc(C(=O)/C(=N/O)SCCCN(C)C)cc1.O=C(O)C(=O)O,IC50,,,nM,,B,CHEMBL644103,,CHEMBL1123431,CHEMBL220
CHEMBL296429,Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL154972,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,IC50,=,73.0,nM,7.14,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL152722,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,IC50,=,3100.0,nM,5.51,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL544022,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,IC50,=,520000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL349127,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,IC50,=,4500.0,nM,5.35,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL156659,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,IC50,=,1200.0,nM,5.92,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL45118,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL47284,CN(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1,IC50,,,nM,,B,CHEMBL644102,,CHEMBL1123431,CHEMBL220
CHEMBL542609,Cc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1.Cl,IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL155322,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,540.0,nM,6.27,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,IC50,=,30.0,nM,7.52,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL1203537,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,IC50,=,830.0,nM,6.08,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,IC50,>,20000.0,nM,,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL47375,COc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL542360,CN(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL345849,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,IC50,=,390.0,nM,6.41,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL154689,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,390.0,nM,6.41,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL346733,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,430.0,nM,6.37,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL416464,COc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1,IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL47815,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],IC50,,,nM,,B,CHEMBL638606,,CHEMBL1123431,CHEMBL220
CHEMBL1203539,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,IC50,=,600.0,nM,6.22,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL347729,CN(C)Cc1ccc(CNCCN2CCN/C2=C\[N+](=O)[O-])o1,IC50,>,2000.0,nM,,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL296786,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL63173,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,21000.0,nM,4.68,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,=,290.0,nM,6.54,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL292788,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,700.0,nM,6.16,B,CHEMBL645000,,CHEMBL1128816,CHEMBL220
CHEMBL33051,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],IC50,=,460000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL155392,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,IC50,=,630.0,nM,6.20,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL153311,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,IC50,=,2100.0,nM,5.68,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL543546,CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl,IC50,=,330000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL1420,C[n+]1ccccc1C=NO,IC50,=,340000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL556172,CCN(CC)CCS/C(=N\O)C(=O)c1ccccc1.Cl,IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL154263,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,IC50,=,290.0,nM,6.54,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL544669,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,IC50,=,210000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL62664,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,40.0,nM,7.40,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL155111,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,IC50,=,80.0,nM,7.10,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL1203534,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,IC50,=,95.0,nM,7.02,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL541044,CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,IC50,=,710000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL543779,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl,IC50,=,180000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL155495,CNC(NCCNCc1ccc(COC)o1)=C(C#N)C#N,IC50,>,20000.0,nM,,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL64011,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,60.0,nM,7.22,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL65585,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,70.0,nM,7.16,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL347539,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,IC50,=,280.0,nM,6.55,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL154433,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,IC50,=,11000.0,nM,4.96,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL157208,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,IC50,=,1500.0,nM,5.82,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL1790041,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,IC50,=,650.0,nM,6.19,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL65356,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,930.0,nM,6.03,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL154366,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,IC50,=,370.0,nM,6.43,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL153821,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,4500.0,nM,5.35,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL416644,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],IC50,=,720000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,=,30.0,nM,7.52,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL303574,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,7600.0,nM,5.12,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL65018,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,80.0,nM,7.10,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL296277,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.[Cl-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL66309,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,380.0,nM,6.42,B,CHEMBL645001,,CHEMBL1128816,CHEMBL220
CHEMBL1203535,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl,IC50,=,3300.0,nM,5.48,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL296560,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.[I-],IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL555477,CN(C)CCS/C(=N\O)C(=O)c1cccc2ccccc12.Cl,IC50,,,nM,,B,CHEMBL644102,,CHEMBL1123431,CHEMBL220
CHEMBL152260,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,IC50,=,370.0,nM,6.43,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL154950,C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,IC50,=,9300.0,nM,5.03,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL296669,CN(C)CCCS/C(=N\O)C(=O)c1ccc(Br)cc1.O=C(O)C(=O)O,IC50,>,1000000.0,nM,,B,CHEMBL644102,Outside typical range,CHEMBL1123431,CHEMBL220
CHEMBL1203538,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,IC50,=,120.0,nM,6.92,B,CHEMBL636834,,CHEMBL1126972,CHEMBL220
CHEMBL19060,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,IC50,=,7244.36,nM,5.14,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL422977,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,IC50,=,4466.84,nM,5.35,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL11805,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,IC50,=,169.82,nM,6.77,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL302179,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,IC50,=,6456.54,nM,5.19,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,=,14.13,nM,7.85,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL27673,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,IC50,=,5370.32,nM,5.27,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL132377,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,IC50,=,309.03,nM,6.51,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL132133,NCCCCCCNCCSSCCNCCCCCCN,IC50,=,501187.23,nM,,B,CHEMBL638603,Outside typical range,CHEMBL1131149,CHEMBL220
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,=,218.78,nM,6.66,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL134488,COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,IC50,=,1862.09,nM,5.73,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL134382,COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,IC50,=,7244.36,nM,5.14,B,CHEMBL638603,,CHEMBL1131149,CHEMBL220
CHEMBL59109,NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,IC50,=,3000.0,nM,5.52,B,CHEMBL643374,,CHEMBL1129143,CHEMBL220
CHEMBL286990,C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],IC50,=,10600.0,nM,4.97,B,CHEMBL644834,,CHEMBL1125664,CHEMBL220
CHEMBL294891,C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,IC50,=,400.0,nM,6.40,B,CHEMBL643374,,CHEMBL1129143,CHEMBL220
CHEMBL395280,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,IC50,=,5.0,nM,8.30,B,CHEMBL643374,,CHEMBL1129143,CHEMBL220
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,=,254.0,nM,6.59,B,CHEMBL644115,,CHEMBL1149992,CHEMBL220
CHEMBL89011,Nc1c2c(nc3ccccc13)-c1ccccc1CO2,IC50,=,245000.0,nM,,B,CHEMBL644115,Outside typical range,CHEMBL1149992,CHEMBL220
CHEMBL748,C[n+]1ccccc1/C=N/O.[Cl-],IC50,=,366000.0,nM,,B,CHEMBL644834,Outside typical range,CHEMBL1125664,CHEMBL220
CHEMBL50608,Nc1cc(-c2ccccc2)nc2ccccc12,IC50,=,11480.0,nM,4.94,B,CHEMBL644115,,CHEMBL1149992,CHEMBL220
CHEMBL29300,CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],IC50,=,6800.0,nM,5.17,B,CHEMBL644834,,CHEMBL1125664,CHEMBL220
CHEMBL27675,C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],IC50,=,26500.0,nM,4.58,B,CHEMBL644834,,CHEMBL1125664,CHEMBL220
CHEMBL435373,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,IC50,=,2000.0,nM,5.70,B,CHEMBL643374,,CHEMBL1129143,CHEMBL220
CHEMBL60167,Nc1c2c(nc3ccccc13)-c1ccccc1C2,IC50,=,676.0,nM,6.17,B,CHEMBL644115,,CHEMBL1149992,CHEMBL220
CHEMBL89012,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,IC50,=,2980.0,nM,5.53,B,CHEMBL644115,,CHEMBL1149992,CHEMBL220
CHEMBL314800,Nc1c2c(nc3ccccc13)-c1ccccc1CS2,IC50,=,18580.0,nM,4.73,B,CHEMBL644115,,CHEMBL1149992,CHEMBL220
CHEMBL553212,C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],IC50,=,17900.0,nM,4.75,B,CHEMBL644834,,CHEMBL1125664,CHEMBL220
CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,IC50,=,4190.0,nM,5.38,B,CHEMBL643373,,CHEMBL1151505,CHEMBL220
CHEMBL315013,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],IC50,=,219.0,nM,6.66,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,IC50,=,230.0,nM,6.64,B,CHEMBL643373,,CHEMBL1151505,CHEMBL220
CHEMBL314658,COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],IC50,=,750.0,nM,6.12,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
CHEMBL87170,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,IC50,=,4.6,nM,8.34,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
CHEMBL87959,COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],IC50,=,390.0,nM,6.41,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
CHEMBL87295,CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],IC50,=,2570.0,nM,5.59,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
CHEMBL82810,COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],IC50,=,40.0,nM,7.40,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,IC50,=,670.0,nM,6.17,B,CHEMBL643373,,CHEMBL1151505,CHEMBL220
CHEMBL88049,COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],IC50,=,110.0,nM,6.96,B,CHEMBL644831,,CHEMBL1135325,CHEMBL220
